city,country,humidity,temp,cloud,windy,lat
Jamestown,US,72,64.06,75,10.29,42.1
Nago,JP,88,80.98,1,7.65,26.59
Qandala,SO,54,90.63,3,5.79,11.47
Katsuura,JP,86,81.48,98,11.99,35.13
Busselton,AU,53,46.31,0,10.74,-33.65
Comodoro Rivadavia,AR,16,59.0,20,29.97,-45.87
Mataura,NZ,89,42.01,87,11.99,-46.19
Puerto Ayora,EC,64,71.33,20,21.92,-0.74
Kearney,US,47,75.2,1,10.29,40.7
Najrān,SA,22,77.0,100,2.24,17.49
Rikitea,PF,82,71.71,99,22.64,-23.12
Sola,VU,85,80.24,93,24.16,-13.88
Bredasdorp,ZA,87,48.2,66,3.36,-34.53
Punta Arenas,CL,64,39.09,40,36.91,-53.15
Tasiilaq,GL,80,35.6,0,2.24,65.61
Muborak,UZ,39,54.27,0,8.28,39.26
Lebu,CL,80,52.7,65,12.71,-37.62
Mataura,NZ,89,42.01,87,11.99,-46.19
Norman Wells,CA,54,57.2,75,10.29,65.28
Port Alfred,ZA,73,59.0,32,6.58,-33.59
Jamestown,US,72,64.06,75,10.29,42.1
Vao,NC,85,71.11,0,8.57,-22.67
Longyearbyen,SJ,80,39.2,75,10.29,78.22
Camacha,PT,73,71.6,40,24.16,33.08
Ushuaia,AR,69,35.6,75,25.28,-54.8
Busselton,AU,53,46.31,0,10.74,-33.65
Yellowknife,CA,66,47.8,75,12.75,62.46
Rawson,AR,35,56.91,83,36.51,-43.3
Barrow,US,87,46.4,90,6.93,71.29
Digha,IN,85,82.8,100,10.4,21.68
Vaini,TO,88,71.6,75,10.29,-21.2
Kapaa,US,58,84.47,40,12.75,22.08
Akdepe,TM,53,50.88,0,2.24,42.06
Shanghai,CN,88,63.5,90,8.95,31.22
Airai,TL,73,57.97,99,1.7,-8.93
Kholtoson,RU,78,40.68,0,2.15,50.3
Longyearbyen,SJ,80,39.2,75,10.29,78.22
Faya,SA,24,68.9,56,9.04,18.39
Angola,AO,56,69.49,100,4.16,-12.5
Bozova,TR,53,75.2,0,6.93,37.36
Ushuaia,AR,69,35.6,75,25.28,-54.8
Kruisfontein,ZA,81,55.0,0,3.0,-34.0
Ugoofaaru,MV,76,82.02,48,11.43,5.67
Pisco,PE,77,63.36,75,6.93,-13.7
Atuona,PF,79,77.38,36,22.64,-9.8
Kholm,RU,96,44.02,84,5.08,59.27
Bluff,NZ,89,42.01,100,11.99,-46.6
Tuatapere,NZ,89,42.01,100,11.99,-46.13
Barrow,US,87,46.4,90,6.93,71.29
George Town,MY,94,78.78,40,3.36,5.41
Busselton,AU,53,46.31,0,10.74,-33.65
Yellowknife,CA,66,47.8,75,12.75,62.46
Cidreira,BR,86,62.13,14,6.17,-30.18
Palmer,US,49,72.21,75,4.7,42.16
Ilulissat,GL,69,35.6,80,6.93,69.22
Haines Junction,CA,39,55.38,100,10.0,60.75
Atuona,PF,79,77.38,36,22.64,-9.8
Nikolskoye,RU,81,46.0,90,17.9,59.7
Kapaa,US,58,84.47,40,12.75,22.08
Padang,ID,77,76.55,100,2.71,-0.95
Mar del Plata,AR,57,67.46,9,10.29,-38.0
Chui,UY,72,62.56,0,6.02,-33.7
East London,ZA,67,61.14,2,7.63,-33.02
Mariehamn,AX,70,46.4,49,5.82,60.1
